frame,timestep,n_atoms,surface_area_A2,filled_volume_A3
295,295000,38266,249191.1785483112,9881645.927778287
296,296000,38328,249536.57945374196,9898708.269531202
297,297000,38336,249456.7472301374,9900052.856458928
298,298000,38338,249451.74838743897,9899496.475980798
299,299000,38470,250211.9649307721,9934177.540142339
300,300000,38474,250226.42968404276,9936449.427937828
301,301000,38540,250537.8841015787,9953001.753513359
302,302000,38566,250672.51276957657,9959863.78268158
303,303000,38620,251007.69251679644,9973958.760057231
304,304000,38656,251244.9122718093,9983417.232301341
305,305000,38682,251491.19089718716,9988517.388808483
306,306000,38668,251339.5603284767,9985735.485470654
307,307000,38698,251416.9086942173,9992087.498521022
308,308000,38772,251857.52270296356,10011607.188302515
309,309000,38826,252208.4971956287,10025933.99165912
310,310000,38876,252444.54404657448,10039843.509511834
311,311000,38928,252719.9979799197,10053567.566877851
312,312000,38996,253143.03375090528,10072020.860429928
313,313000,38998,253124.07882793405,10068636.211049827
314,314000,39062,253442.95769727867,10085976.743195077
315,315000,39104,253665.39714276706,10095898.865966892
316,316000,39192,254290.74291176168,10119452.315311955
317,317000,39290,254790.62590541935,10146714.970177041
318,318000,39340,254979.70491386153,10160160.83748396
319,319000,39364,255184.16418896956,10165956.469758322
320,320000,39438,255597.9451936063,10184409.763219
321,321000,39480,255837.1345555092,10196186.487827152
322,322000,39530,256086.26358213625,10209864.18066836
323,323000,39642,256766.43905562893,10238749.612249753
324,324000,39720,257224.59407746763,10258083.8415189
325,325000,39808,257802.62355892625,10281220.00612782
326,326000,39894,258223.34921319224,10304031.615777288
327,327000,39942,258346.96309003892,10318033.863649966
328,328000,40014,258834.75647387427,10338295.394042484
329,329000,39996,258580.6243005491,10332407.032166911
330,330000,40068,258892.6324849686,10350721.22958039
331,331000,40112,259183.12972823568,10363564.3509921
332,332000,40168,259409.8560962264,10376036.55244735
333,333000,40192,259552.45886864,10381600.35946985
334,334000,40232,259768.88935616062,10392357.053097961
335,335000,40224,259661.86880941025,10390131.530429825
336,336000,40246,259790.60380083692,10396854.463244108
337,337000,40308,260200.01763392225,10412896.773939243
338,338000,40370,260481.6199825222,10430422.766588088
339,339000,40450,260956.329310479,10451936.153644571
340,340000,40576,261848.51019087536,10486292.662535695
341,341000,40614,261982.5860886329,10495936.595177913
342,342000,40622,261937.03904162158,10496353.880555635
343,343000,40674,262110.68859196335,10511329.793908948
344,344000,40742,262496.8906952736,10528484.866243392
345,345000,40786,262877.51075629465,10538453.353819331
346,346000,40844,263105.9186650507,10554263.83900263
347,347000,40832,263072.4679096904,10549349.142884742
348,348000,40796,262827.7471265235,10538638.813872883
349,349000,40846,263165.2750967318,10551713.760824056
350,350000,40924,263664.13487493945,10572531.672087794
351,351000,41006,264295.6545490397,10593859.599205429
352,352000,41022,264290.8900901073,10600026.152071027
353,353000,41082,264480.4936118787,10614213.859630745
354,354000,41098,264535.2063573437,10617413.049045753
355,355000,41194,265105.6987904604,10642450.180464152
356,356000,41244,265443.87085435237,10656498.793593561
357,357000,41266,265493.6269161108,10663360.822187407
358,358000,41306,265659.07287565275,10673375.675262807
359,359000,41312,265660.0627168754,10673932.05621618
360,360000,41358,265882.4575805632,10685662.415946495
361,361000,41396,266119.6560609079,10695028.157986667
362,362000,41378,265763.0478896348,10690020.73168657
363,363000,41428,266057.8733287791,10702585.662599666
364,364000,41420,266063.8054195679,10699571.933902858
365,365000,41466,266269.26624580513,10711255.928849451
366,366000,41454,266196.44544277637,10708427.660304338
367,367000,41470,266196.2476703005,10713064.165744936
368,368000,41466,266142.0443729644,10711719.579007221
369,369000,41502,266317.5118617494,10721270.781423848
370,370000,41576,266695.2316970594,10740558.646152785
371,371000,41642,267025.3098260903,10757481.89245718
372,372000,41704,267435.69711521117,10774683.329729479
373,373000,41744,267672.5245460781,10785161.832716078
374,374000,41750,267723.2528312083,10785579.118624313
375,375000,41794,267881.23131158395,10797494.938901592
376,376000,41870,268336.86961799517,10818683.771130577
377,377000,41962,268828.2587537086,10842654.505942382
378,378000,41992,268995.24345688394,10849933.820062201
379,379000,42040,269266.5976795178,10862637.846235024
380,380000,42026,269157.8694999367,10857815.880241511
381,381000,42132,269762.35504885425,10884012.138968393
382,382000,42136,269817.0038063482,10887072.232844586
383,383000,42186,270042.4715059569,10900147.17918654
384,384000,42266,270553.62580662424,10919620.504138958
385,385000,42216,270051.33449621114,10907009.20829489
386,386000,42268,270421.6433391066,10920408.710068943
